time_sec,hand_gsr_uS
0.0,9.179521918702433
0.03229278794402583,8.607739191356316
0.06458557588805167,9.47336437664301
0.0968783638320775,9.543254755336072
0.12917115177610333,8.788452364340614
0.16146393972012918,9.028549680097157
0.193756727664155,8.710348932741582
0.22604951560818082,8.979420889732221
0.25834230355220666,9.630520155762499
0.2906350914962325,9.170198988117683
0.32292787944025836,9.208759880381846
0.35522066738428415,9.203188147950513
0.38751345532831,9.360934345698395
0.41980624327233584,9.531535393698885
0.45209903121636164,8.756911257185315
0.4843918191603875,8.334550851094157
0.5166846071044133,9.12394161396721
0.5489773950484391,9.202189636531958
0.581270182992465,9.174384189909484
0.6135629709364908,8.851785669942073
0.6458557588805167,8.46440095811724
0.6781485468245425,9.034216849421101
0.7104413347685683,8.876948356293726
0.7427341227125942,9.327958189177913
0.77502691065662,9.190224816188998
0.8073196986006458,9.417418258607634
0.8396124865446717,9.417619134165124
0.8719052744886975,8.18389960675064
0.9041980624327233,9.216752687448922
0.9364908503767492,8.938569643930364
0.968783638320775,8.81927390468532
1.0010764262648009,8.714987521866457
1.0333692142088267,9.03911786292715
1.0656620021528525,8.700027781612517
1.0979547900968782,9.025007468440792
1.1302475780409043,8.509256549203016
1.16254036598493,9.508248983463128
1.1948331539289558,8.519179616031497
1.2271259418729816,9.14956132070753
1.2594187298170074,9.109554538498648
1.2917115177610334,9.166186366626327
1.3240043057050592,9.059938741807095
1.356297093649085,9.557743617135763
1.3885898815931108,9.382522483169916
1.4208826695371366,9.392334839159318
1.4531754574811624,9.570469941241992
1.4854682454251884,9.011127439321484
1.5177610333692142,8.924043065139928
1.55005382131324,9.176715765961788
1.5823466092572658,10.160620746552901
1.6146393972012916,8.590290412445134
1.6469321851453176,9.101703336700341
1.6792249730893434,8.521552040217243
1.7115177610333692,8.42689300056885
1.743810548977395,9.523749112588641
1.7761033369214208,8.749892941378587
1.8083961248654465,8.872759642303892
1.8406889128094726,9.067442233214717
1.8729817007534983,8.853844597254893
1.9052744886975241,8.74117517575701
1.93756727664155,8.967290955879793
1.9698600645855757,9.176449310103607
2.0021528525296017,8.984433758780721
2.0344456404736273,8.307862779416029
2.0667384284176533,7.85335117999379
2.0990312163616793,9.182050722361605
2.131324004305705,8.410908967583577
2.163616792249731,9.289971202838155
2.1959095801937565,8.763104220903992
2.2282023681377825,9.858140443852768
2.2604951560818085,9.283205603084458
2.292787944025834,8.680213261579098
2.32508073196986,8.433211374459985
2.3573735199138857,8.948002010331546
2.3896663078579117,9.285190233741288
2.4219590958019377,8.550559641422371
2.4542518837459633,9.117792651809218
2.4865446716899893,9.826379277150567
2.518837459634015,8.95666460291372
2.551130247578041,9.154411903823098
2.583423035522067,9.937237671307443
2.6157158234660924,9.026812010378693
2.6480086114101185,8.878584264197936
2.680301399354144,9.02592698118561
2.71259418729817,8.63778167824127
2.7448869752421956,8.941923811378937
2.7771797631862216,8.906186722488014
2.8094725511302476,8.901579910098839
2.841765339074273,8.600077404375728
2.874058127018299,9.20840501830061
2.906350914962325,9.03639707344999
2.938643702906351,9.185354149386065
2.970936490850377,9.535627558278758
3.0032292787944024,9.716546426202013
3.0355220667384284,8.476063228949577
3.067814854682454,8.961397590776494
3.10010764262648,9.865538623025186
3.132400430570506,9.697229815406919
3.1646932185145316,8.871504180722766
3.1969860064585576,8.96650927548909
3.229278794402583,8.751643986905869
3.261571582346609,8.535983834255788
